,Rank,Name,Total_Net_Worth,LastChange,YTDChange,Country,Industry
0,1,Elon Musk ,$311B,+$9.32B,+$141B,UnitedStates,Technology
1,2,Jeff Bezos ,$195B,-$3.79B,+$5.06B,UnitedStates,Technology
2,3,Bernard Arnault ,$167B,-$544M,+$52.7B,France,Consumer
3,4,Bill Gates ,$136B,+$906M,+$4.40B,UnitedStates,Technology
4,5,Larry Page ,$131B,+$1.71B,+$48.7B,UnitedStates,Technology
5,6,Sergey Brin ,$126B,+$1.64B,+$46.7B,UnitedStates,Technology
6,7,Mark Zuckerberg ,$121B,+$2.40B,+$17.3B,UnitedStates,Technology
7,8,Steve Ballmer ,$118B,+$2.42B,+$37.6B,UnitedStates,Technology
8,9,Larry Ellison ,$115B,+$331M,+$35.4B,UnitedStates,Technology
9,10,Warren Buffett ,$105B,-$800M,+$17.0B,UnitedStates,Diversified
10,11,Mukesh Ambani ,$95.8B,-$2.56B,+$19.1B,India,Energy
11,12,Francoise Bettencourt Meyers,$90.4B,-$597M,+$14.6B,France,Consumer
12,13,Gautam Adani ,$77.1B,+$2.52B,+$43.3B,India,Industrial
13,14,Amancio Ortega ,$77.0B,-$532M,+$10.5B,Spain,Retail
14,15,Jim Walton ,$66.5B,+$315M,+$4.02B,UnitedStates,Retail
15,16,Rob Walton ,$66.0B,+$291M,+$3.41B,UnitedStates,Retail
16,17,Zhong Shanshan ,$65.2B,-$68.5M,-$13.0B,China,Diversified
17,18,Alice Walton ,$64.6B,+$325M,+$2.26B,UnitedStates,Retail
18,19,Carlos Slim ,$63.4B,-$280M,+$7.13B,Mexico,Diversified
19,20,Phil Knight&family ,$62.6B,+$927M,+$8.75B,UnitedStates,Consumer
20,21,Charles Koch ,$60.2B,-$643M,+$3.32B,UnitedStates,Industrial
21,22,Julia Flesher Koch&family,$60.2B,-$643M,+$3.32B,UnitedStates,Industrial
22,23,Zeng Yuqun ,$57.3B,+$2.74B,+$26.3B,HongKong,Industrial
23,24,MacKenzie Scott ,$56.9B,-$1.29B,-$1.59B,UnitedStates,Technology
24,25,Michael Dell ,$55.9B,-$10.1M,+$15.8B,UnitedStates,Technology
25,26,Francois Pinault ,$50.2B,-$678M,+$2.44B,France,Consumer
26,27,Ma Huateng ,$49.2B,-$671M,-$7.28B,China,Technology
27,28,Jacqueline Badger Mars,$47.8B,-$1.01B,+$6.04B,UnitedStates,Food&Beverage
28,29,John Mars ,$47.8B,-$1.01B,+$6.04B,UnitedStates,Food&Beverage
29,30,Len Blavatnik ,$45.1B,-$221M,+$6.95B,UnitedStates,Diversified
30,31,Zhang Yiming ,$44.5B,$0 ,+$19.5B,China,Technology
31,32,Jack Ma ,$43.2B,-$478M,-$7.39B,China,Technology
32,33,Stephen Schwarzman ,$39.8B,-$221M,+$18.3B,UnitedStates,Finance
33,34,Azim Premji ,$37.4B,-$616M,+$12.0B,India,Technology
34,35,Klaus-Michael Kuehne ,$36.0B,-$367M,+$11.8B,Germany,Industrial
35,36,Giovanni Ferrero&family ,$34.2B,-$866M,+$112M,Italy,Food&Beverage
36,37,Tadashi Yanai ,$34.1B,+$333M,-$11.1B,Japan,Retail
37,38,Takemitsu Takizaki ,$33.8B,+$1.38B,+$1.41B,Japan,Technology
38,39,Leonard Lauder ,$33.5B,-$102M,+$5.66B,UnitedStates,Consumer
39,40,Leonid Mikhelson ,$33.3B,-$249M,+$8.58B,RussianFederation,Energy
40,41,Leonardo Del Vecchio,$32.5B,+$595M,+$7.77B,Italy,Consumer
41,42,Vladimir Potanin ,$31.8B,-$292M,+$1.76B,RussianFederation,Commodities
42,43,Pallonji Mistry ,$31.8B,-$213M,+$7.23B,Ireland,Industrial
43,44,William Ding ,$31.4B,-$718M,+$894M,China,Technology
44,45,Colin Huang ,$31.3B,-$1.24B,-$31.3B,China,Technology
45,46,Li Ka-shing ,$31.3B,+$8.50M,+$226M,HongKong,Real Estate
46,47,Li Shu Fu,$31.0B,+$1.47B,+$8.83B,China,Industrial
47,48,Alain Wertheimer ,$30.6B,+$169M,-$8.85B,France,Consumer
48,49,Gerard Wertheimer ,$30.6B,+$169M,-$8.85B,France,Consumer
49,50,He Xiangjian ,$29.7B,+$186M,-$7.12B,China,Consumer
